Icono,Observacion,Color,Nivel,Activacion,REGLAS,,,,,,
,Mala entrada,sin color,llanta,Automatica,Que entre una o mas llantas mal en el PULPO. Presion de entrada.,,,,,,
,Ponchado Seguro,roja,llanta,Automatica,Que la llanta tengo dos o mas malas entradas de presion de entrada en el PULPO,,,,,,
,Baja Presion,roja,llanta,Automatica,Cuando la ultima presion conocida de la llanta sea menor a la indidca en el parametro,,,,,,
,Alta presion,amarilla,llanta,Automatica,Cuando la ultima presion conocida de la llanta sea mayor a la indidca en el parametro,,,,,,
,Diferencia de presion entre los duales,amarilla,llanta,Automatica,Cuando la diferencia de presion entre la llanta de un dual y otra es mas grande a 10% en la ultima presion conocida,,,,,,
,Baja Profundidad,roja,llanta,Automatica,Cuando la ultima profundiadd conocida esta por debajo del parametro de punto de reitro del eje,,,,,,
,En punto de retiro,amarilla,llanta,Automatica,Cuando la ultima profundiadd conocida esta en el punto de retiro mas .6mm del parametro de punto de reitro del eje,,Prof1,Prof2,Prof3,,
,desdualizaci칩n,amarilla,llanta,Automatica,Cuando la profunidad minma de un llanta del dual es mayor al parametro que la profundiad minima de la otra llanta del dual,,izq,central,derecha,,Min prof
,Desgaste inclinado a la izq,amarilla,llanta,Automatica,Cuando la profunidad de la izq sea menor al valo de desgaste irregual que la profunidad de la derecha,,4,6,7.1,,4
,Desgaste inclinado a la derecha,amarilla,llanta,Automatica,Cuando la profunidad de la derecha sea menor al valo de desgaste irregual que la profunidad de la izq,,7.1,6,4,,4
,Desgaste  costilla interna,amarilla,llanta,Automatica,cuando la profundidad izq Y der pasan el parametro de desgaste irregular contra la profundiad de centro,,4,10,5,,
,Desgaste Alta presion,amarilla,llanta,Automatica,Cuando la profundiad dentral esta por debajo del paramento de las profundiadd izq Y derecha,,10,7,10,,
,Da침o en Ceja,Roja,llanta,Manual,,,,,,,
,Separamiento de Chafer,roja,llanta,Manual,,,,,,,
,ruptura en costado,roja,llanta,manual,,,,,,,
,Llanta boluda,roja,llanta,manual,,,,,,,
,Corte profundo en costado,roja,llanta,manual,,,,,,,
,Separacion por impacto en constado,roja,llanta,manual,,,,,,,
,objeto penetrado,roja,llanta,manual,,,,,,,
,RRuptura por rodada baja,roja,llanta,manual,,,,,,,
,Frenado subito,amarilla,llanta,manual,,,,,,,
,Arrancamiento de costilla severa,roja,llanta,manual,,,,,,,
,Ruptura en corona,roja,llanta,manual,,,,,,,
,Valvula fugando,roja,llanta,manual,,,,,,,
,valvula innacesible,amarilla,llanta,manual,,,,,,,
,Rin Da침ado,amarilla,llanta,manual,,,,,,,
,Falta manguera de autoinflado,amarilla,llanta,manual,,,,,,,
,Autoinflado Da침ado,amarilla,llanta,manual,,,,,,,
,Vehiculo desalineado,amarilla,vehiculo,manual,,,,,,,
,Autoinflado en malas condiciones,amarilla,vehiculo,manual,,,,,,,
,Imposible registrar km,amarilla,vehiculo,manual,,,,,,,